,channel_id,video_id,title,date,description,viewcount,likecount,dislikecount,favoritecount,commentcount
20,UCFfFgeKVVhjXtQSXRj3e-Iw,mwx01FBf-KM,2017 Hyundai i30 - Perfect Car!!,2017-06-22 16:03:27,"""Hyundai i30 comes to America as the 2018 Elantra GT   At last year's Paris Auto Show, Hyundai revealed its clean and classy i30 hatchback, with the promise that it would arrive in the US as the Elantra GT. The company has fulfilled that promise and then some, bringing us the same attractive hatch, but with even more power.  Visually and structurally, the car is pretty much identical. The lines aren't fussy, and the look is more upright than its predecessor. The interior is reasonably attractive, but we wish the infotainment display was better integrated with the dash like the Elantra sedan's dash.   The big differences are under the hood. The European i30 features an array of gas and diesel engines, and the most potent of which produced only about 140 horsepower. In the United States, the least powerful Elantra GT is the naturally aspirated 2.0-liter inline-4 that makes 162 horsepower. And if that's not enough, a Sport version will be offered with Hyundai's 201-horsepower turbocharged 1.6-liter.  The Elantra GT Sport, like its sedan counterpart, also picks up a few other improvements. It trades in the standard hatch's torsion bar rear suspension for a multi-link set-up. It also moves up to 18-inch alloy wheels, instead of the standard 17-inch alloys, and larger front and rear disc brakes. The interior gets some sportier accoutrements, too.   All Elantra GTs will be available with a number of premium options, including leather, dual-zone climate control, cruise control with start and stop functionality, automatic emergency braking, and lane keeping assist. You'll also be able to use Hyundai's Blue Link Alexa feature. Interested buyers will be able to check out an Elantra GT at dealer lots this summer, but Hyundai has not yet released pricing. Read More http://www.autoblog.com/2017/02/09/2018-hyunda-elantra-gt-2839237827/  Test Drive Review """"SUBSCRIBE NOW""""""",4169850,18972,2686,0,497
21,UCpcTrCXblq78GZrTUTLWeBw,Ov39iGAgEn4,Benjamin PAVARD - HYUNDAI GOAL OF THE TOURNAMENT **WINNER**,2018-06-30 18:05:06,Benjamin PAVARD's goal from the match against France.  Find out where to watch live: fifa.tv/watch2018  Match highlights: https://www.youtube.com/watch?v=nc9zirKrT0Q  More from Russia 2018: https://www.youtube.com/playlist?list=PLCGIzmTE4d0ia-PWE7WoysqLao-0y7jEz  More World Cup stories: https://www.youtube.com/playlist?list=PLCGIzmTE4d0j5nOjvXOP55xyW3aJCyeGo  Follow all the action from Russia across the FIFA Platforms: 👉 http://www.youtube.com/fifa 👉 http://www.facebook.com/fifaworldcup 👉 http://www.twitter.com/fifaworldcup 👉 http://www.instagram.com/fifaworldcup 👉 http://www.fifa.com,3816146,35718,1113,0,2694
22,UC5f97D60yHa7UE9rFfbej8g,J1rk009LTkE,Hyundai l FIFA Confederations Cup 2017 : We all feel the same,2017-06-05 08:37:37,"Football fans around the world feel the same way about their beloved nations.  From beating their fiercest rivals to having the opportunity to show what a small nation can do, all of these inspire moments of elation and create memories that stay with us forever.   Hyundai visited the 8 competing nations in the FIFA Confederations Cup 2017 to find the most loyal fans to discover what football means to them!  Share your passion to win the chance to go to the 2018 FIFA World Cup Russia™ here : http://confederationscup2017.hyundai.com",3512105,303,185,0,59
23,UCRbP2fAbCBOMiaci7tz_sAA,1fivgi72rmo,Hyundai | Brilliant Moments | Sapno Ki Gaadi – My Dream Car | Saroj Kumari,2018-09-17 11:58:11,"A mother gives in to her daughter's persistent request, not knowing it would prove to be a life-saving decision. Watch this beautiful story to strengthen your belief in humanity. Visit www.brilliantmoments.in to watch and vote for your favourite Brilliant Moment and win exciting prizes! 1000 Lucky winners will win Rs. 250.00 vouchers.  For more updates  Subscribe: https://goo.gl/XsoGVO   Twitter: https://twitter.com/HyundaiIndia   Facebook: https://www.facebook.com/HyundaiIndia  Google+: https://plus.google.com/u/0/b/108160921162004930270/+hyundaiindia/about   Instagram: https://instagram.com/hyundaiindia/   LinkedIn: https://www.linkedin.com/company/hyundai-motor-india-ltd?trk=nav_account_sub_nav_company_admin",3261322,1844,75,0,76
24,UCMSjsvDuobchFSw5U1SDaqg,S5eZAFeAOmI,Hyundai Creta vs Renault Duster | The Perfect SUV Face-off | Comparison,2015-12-22 14:27:30,"""Hyundai calls its Creta """"The Perfect SUV"""". We decided to pit it against its segment competitor, Renault Duster in an innovative comparison format.  Watch Renault Duster vs Hyundai Creta Comparsion by CarDekho. Know more about: Creta at http://www.cardekho.com/hyundai-cars/creta Duster at: http://www.cardekho.com/carmodels/Renault/Renault_Duster  You can also compare these two cars at the following link: http://www.cardekho.com/compare/hyundai-creta-and-renault-duster.htm  Visit http://www.cardekho.com for the latest updates from the auto world.  Facebook: http://www.facebook.com/CarDekho Twitter: http://www.twitter.com/cardekho G+: https://plus.google.com/+cardekho""",2808666,12558,3503,0,796
25,UCAnTQKuelVAIvtUidbT-90Q,X6DJtDHveh4,Hyundai i30 N - Winter Testing with Thierry Neuville,2017-03-15 08:00:03,"Hyundai Motor is undergoing winter testing with its first high performance model: the i30 N. Thierry Neuville tests the third member of the i30 family, to be launched across Europe in the second half of 2017.",2751219,157,4,0,22
26,UCdEczn3MVkx_4PnMZ10MVFA,qdLJAMzShBk,"Here's Why this $15,000 Hyundai Equus Is More Luxurious Than My Rolls-Royce Phantom",2018-12-19 16:01:22,Read my column on Autotrader here: https://www.autotrader.com/oversteer  Buy Hoovie's Garage T-Shirts here: https://hooviesgarage.com/collections/all  Follow me on Twitter! https://twitter.com  Follow me on Facebook! https://www.facebook.com/hooviesgarage/,2739565,40142,3398,0,6093
27,UCryFlRoCpeRNESgLbJZxiIw,hOAN-y7epWM,Comercial Proibido Hyundai Veloster,2011-08-23 12:47:19,http://twixar.com/yD6Nebku - Saiba tudo sobre o Veloster -  CURTA NO FACEBOOK: http://www.facebook.com/pages/CENTRAL-CLASSIFICADOS/262392513771404,2514207,9022,360,0,1272
28,UCo9r1cdTaBY-lQC7p1rwokg,ljg8IRolkdU,Hyundai | Road Stars - i30 N,2018-01-05 13:43:55,"Hyundai i30 N Test | Review Kraftstoffverbrauch für den Hyundai i30 N Performance 2.0 T-GDI 202 kW (275 PS) 6-Gang-Getriebe: innerorts: 9,7 l/100 km; außerorts: 5,7 l/100 km; kombiniert: 7,1 l/100 km; CO2-Emission kombiniert: 163 g/km; Effizienzklasse: D.  Kraftstoffverbrauch für den i30 N i30 N 2.0 T-GDI 184 kW (250 PS) 6-Gang-Getriebe: innerorts 9,5 l/100 km; außerorts 5,5 l/100 km; kombiniert 7,0 l/100 km; CO2-Emission kombiniert: 159 g/km; Effizienzklasse: D.   Der i30 N wird durch Kai Fischer (Moderator, u.a. bekannt als HR3 Radiomoderator - www.kaifischer.tv) präsentiert, erklärt und auf der Rennstrecke am Bilster Berg sowie auf den umliegenden kurvigen Landstraßen in Aktion vorgeführt.  Mehr über uns: http://www.hyundai.de Finde deinen i30 N: http://www.hyundai.de/Modelle/i30-N.html ________________________________________________   Jetzt abonnieren: http://www.youtube.com/subscription_center?add_user=HyundaiMotorGermany Facebook: https://www.facebook.com/hyundai.deutschland Twitter: https://twitter.com/Hyundai_DE Instagram: https://www.instagram.com/hyundai_de/   Mehr über den Hyundai i30 N: http://www.hyundai.de/Modelle/i30-N.html Probefahrt vereinbaren: http://www.hyundai.de/Services/Probefahrt.html",2486259,513,338,0,111
29,UChqhN3wk-UbEDuQtBsHu7lw,1T_IU9oG_Xw,BIGGEST Hyundai SUV - 2020 Hyundai Palisade Interior&Exterior Tour(7&8 seat configuration),2018-12-27 14:51:13,,2290726,14873,1104,0,1103
